artikel
Dalam melakukan investasi di pasar modal investor seringkali dihadapkan pada dua hal yaitu tingkat keuntungan dan tingkat kerugian. Maka dari itu untuk mengurangi tingkat kerugian investor melakukan diversifikasi dengan mengkombinasikan berbagai sekuritas dalam investasi atau disebut dengan portofolio saham.
"Hambatan terbesar yang dialami oleh peternak sapi perah adalah penggunaan komposisi pakan yang tidak efisien. Dalam sudut pandang ekonomi, biaya untuk pembelian pakan ternak merupakan biaya tertinggi dalam usaha peternakan, sehingga harus ditekan serendah mungkin untuk memaksimalkan pendapatan dengan tetap memperhatikan nutrisi yang dibutuhkan oleh sapi perah.yang minimal. Algoritma genetika merupakan salah satu metode yang sesuai untuk memecahkan permasalahan optimasi. Representasi yang digunakan adalah real code dimana setiap kromosom mewakili bobot dari bahan pakan, dan panjang kromosom tergantung dari banyaknya bahan pakan. Metode crossover yang digunakan adalah extended intermediete, proses mutasi menggunakan metode random mutation, sedangkan elitism adalah metode yang digunakan dalam proses seleksi. Berdasarkan hasil pengujian yang telah dilakukan, diperoleh parameter optimal yaitu pada populasi 100, generasi 200, serta kombinasi cr dan mr sebesar 0.3 dan 0.3."
Berbagai serangan penyakit dan hama dapat menimbulkan masalah yang serius terhadap tanaman kedelai. Salah satu ancaman pengembangan tanaman kedelai bagi balai-balai penelitian dan pihak pengembang tanaman tersebut merupakan gangguan hama.
"PT. Citra Anggun Pratama adalah perusahaan yang bergerak dibidang konstruksi, salah satu SDM yang terdapat didalamnya adalah pekerja bangunan / tukang. Permasalahan yang sering temui dalam perusahaan adalah tidak sesuainya pemilihan tukang terhadap kebutuhan proyek perusahaan yang mengakibatkan terganggunya pengerjaan proyek tersebut."
Sistem peramalan dengan fuzzy time series menangkap pola dari data yang telah lalu kemudian digunakan untuk memproyeksikan data yang akan datang. Prosesnya juga tidak membutuhkan suatu sistem pembelajaran dari sistem yang rumit sebagaimana yang ada pada algoritma genetika dan jaringan syaraf sehingga mudah untuk dikembangkan.
"Sebagai kota yang sedang tumbuh Kota Malang mengalami berbagai masalah, salah satu aspek yang sedang menjadi masalah kota adalah masalah kebersihan kota. Produksi sampah semakin tahun semakin meningkat seiring dengan peningkatan penduduknya."
"Salah satu permasalahannya dalam bidang optimasi yaitu penentuan rute distribusi air minum kemasan. Air merupakan salah satu kebutuhan pokok bagi manuasia, sehingga banyak sekali permintaan untuk pemasokan air minum kemasan ."
"Informasi publik merupakan informasi yang dihasilkan, disimpan, dan/atau diterima oleh suatu badan publik yang berkaitan dengan penyelenggara dan penyelenggaraan badan publik lainnya yang sesuai dengan Undang-Undang serta informasi lain yang berkaitan dengan kepentingan publik."
"Pada perkembangan teknologi informasi saat ini, banyak upaya yang dilakukan guna memberikan layanan pertukaran informasi yang efisien dan efektif. Arsitektur yang menarik banyak perhatian peneliti dalam hal efisiensi yaitu publish-subscribe, yang merupakan bagian dari Information Centric Networking (ICN)."
"Sebelum dana zakat disalurkan, diperlukan seleksi data penerima zakat dengan mempertimbangkan beberapa kriteria yang dimilikinya karena beasiswa harus diterima oleh orang yang benar-benar membutuhkan. Jumlah data yang banyak beserta kriteria yang bervariasi menyebabkan waktu seleksi yang dibutuhkan untuk menghasilkan keputusan berlangsung lama."
Smart home dikembangkan untuk melaksanakan beberapa kegiatan yang dilakukan dalam kehidupan sehari-hari secara otomatis. Utnuk mengoperasikan atau memantau perangkat di dalam rumah  dapat secara wireless salah satu contohnya menggunakan smartphone.
"Detak jantung dan suhu tubuh merupakan tanda vital yang secara rutin diperiksa rumah sakit untuk mengetahui tanda klinis dan berguna untuk memperkuat diagnosis suatu penyakit. Pada prosesnya, pemeriksaan detak jantung dan suhu tubuh di beberapa rumah sakit masih menggunakan sistem manual dimana seorang perawat harus datang ke kamar pasien untuk melihat dan mencatat detak jantung dan suhu tubuh pasien."
Teknologi komunikasi saat ini sudah sangat berkembang terlebih lagi dengan adanya teknologi wireless. Teknologi ini sangat populer dikarenakan kemampuanya dalam mengirimkan data atau informasi secara nirkabel.
Wireless Sensor Network merupakan kumpulan sejumlah node yang diatur dalam suatu jaringan. Beberapa jenis algoritma routing yang digunakan pada Wireless Sensor Network di antara nya Flooding dan Convergecast.
Software Defined Network merupakan sebuah konsep baru yang digunakan untuk mengatasi masalah jaringan tradisional dengan melakukan pemisahan antara control plane dan data plane dalam suatu perangkat yang berbeda. Komunikasi antara control plane dan data plane menggunakan protokol openflow.
Danau adalah sebuah fitur darat yang berperan penting dalam kehidupan manusia. Perubahan pada danau dapat memengaruhi keadaan lingkungan sekitar serta kehidupan masyarakat yang berada disekitarnya.
Uji penetrasi adalah serangkaian kegiatan yang dilakukan untuk mengidentifikasi dan mengeksploitasi kerentanan keamanan. Ini membantu mengkonfirmasi efektivitas atau ketidakefektifan langkah-langkah keamanan yang telah dilaksanakan.
"Banyaknya tempat wisata kuliner di Malang yang dapat dijangkau membuat kesulitan para pecinta kuliner untuk mencari rute optimum, baik dari segi jarak, waktu, maupun biaya yang dikeluarkan untuk berpergian dari satu tempat kuliner ke tempat kuliner yang lain. Salah satu faktor yang mempengaruhi besarnya pengeluaran saat wisata kuliner adalah biaya transportasi. Hal yang berhubungan erat dengan transportasi adalah jarak tempuh yang dilalui."
"Augmented Reality (AR) adalah teknologi yang mempunyai banyak potensi di berbagai bidang, contohnya di bidang hiburan, desain, ataupun peralatan militer. Karenanya, penggunaan AR dapat membawa banyak manfaat untuk masyarakat."
"Perkembangan ilmu pengetahuan dan teknologi membuat kualitas kehidupan manusia semakin berkembang, industri pengolahan hasil pertanian dan perkebunan juga ikut berkembang pesat. Salah satu tahap dalam proses pengolahan hasil pertanian dan perkebunan adalah pemilihan produk berdasarkan kualitasnya, misalnya tingkat kematangan buah."
